,Quote,Genre,Category
0,"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","mortal-instruments,romance,teen-fantasy",Romance
1,"“He's like a drug for you, Bella.”","drug,romance,simile",Romance
2,"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words",Romance
3,"“I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”","love,relationships,romance",Romance
4,"“You can't force love, I realized. It's there or it isn't. If it's not there, you've got to be able to admit it. If it is there, you've got to do whatever it takes to protect the ones you love.”","fiction,romance",Romance
5,"“Some women choose to follow men, and some women choose to follow their dreams. If you're wondering which way to go, remember that your career will never wake up and tell you that it doesn't love you anymore.”","love,romance,work",Romance
6,"“The best love is the kind that awakens the soul and makes us reach for more, that plants a fire in our hearts and brings peace to our minds. And that's what you've given me. That's what I'd hoped to give you forever”","love,nicholas-sparks,romance,the-notebook",Romance
7,"“And I'm suppose to sit by while you date boys and fall in love with someone else, get married...?"" His voice tightened. ""And meanwhile, I'll die a little bit more every day, watching.”","mortal-instruments,romance,teen-fantasy",Romance
8,"“I heard what you said. I’m not the silly romantic you think. I don’t want the heavens or the shooting stars. I don’t want gemstones or gold. I have those things already. I want…a steady hand. A kind soul. I want to fall asleep, and wake, knowing my heart is safe. I want to love, and be loved.”","love,romance",Romance
9,"“I have a history of making decisions very quickly about men. I have always fallen in love fast and without measuring risks. I have a tendency not only to see the best in everyone, but to assume that everyone is emotionally capable of reaching his highest potential. I have fallen in love more times than I care to count with the highest potential of a man, rather than with the man himself, and I have hung on to the relationship for a long time (sometimes far too long) waiting for the man to ascend to his own greatness. Many times in romance I have been a victim of my own optimism.”","disappointment,love,romance",Romance
10,"“They didn’t agree on much. In fact, they didn’t agree on anything. They fought all the time and challenged each other ever day. But despite their differences, they had one important thing in common. They were crazy about each other.”","dear-john,love,nicholas-sparks,romance,the-notebook",Romance
11,“The very essence of romance is uncertainty.”,"love,romance",Romance
12,"“I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun.”","love,romance",Romance
13,"“If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call.”","busy,call,dating,dating-advice,faith,greg-behrendt,guys,he-s-not-just-into-you,love,marriage,romance,true",Romance
14,"“If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.”","life,love,romance",Romance
15,"“If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.”","music,romance,unrequited-love",Romance
16,"“I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt.”","love,romance",Romance
17,“When love is not madness it is not love.”,"love,romance",Romance
18,“Only a true best friend can protect you from your immortal enemies.”,"friendship,humor,romance",Romance
19,"“True love is rare, and it's the only thing that gives life real meaning.”","love,romance",Romance
20,"“I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.”","cry,inspirational,joke,love,romance,smile",Romance
21,"“There was a clatter as the basilisk fangs cascaded out of Hermione's arms. Running at Ron, she flung them around his neck and kissed him full on the mouth. Ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted Hermione off her feet. ""Is this the moment?"" Harry asked weakly, and when nothing happened except that Ron and Hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""OI! There's a war going on here!"" Ron and Hermione broke apart, their arms still around each other. ""I know, mate,"" said Ron, who looked as though he had recently been hit on the back of the head with a Bludger, ""so it's now or never, isn't it?"" ""Never mind that, what about the Horcrux?"" Harry shouted. ""D'you think you could just --- just hold it in, until we've got the diadem?"" ""Yeah --- right --- sorry ---"" said Ron, and he and Hermione set about gathering up fangs, both pink in the face.”","love,romance,war",Romance
22,“Never close your lips to those whom you have already opened your heart.”,"kissing,love,romance",Romance
23,"“It isn't possible to love and part. You will wish that it was. You can transmute love, ignore it, muddle it, but you can never pull it out of you. I know by experience that the poets are right: love is eternal.”","love,poets,romance",Romance
